ID,Value
695,30
696,43
697,75
698,63
699,62
700,70
701,74
702,39
703,43
704,41
705,45
706,48
707,35
708,71
709,41
710,46
711,52
712,47
713,50
714,59
715,45
716,84
717,36
718,56
719,50
720,48
721,78
722,47
723,46
724,48
725,54
726,32
727,25
728,40
729,56
730,67
731,56
732,37
733,66
734,61
735,63
736,49
737,34
738,59
739,33
740,23
741,64
742,64
743,49
744,47
745,57
746,70
747,40
748,56
749,56
750,49
751,39
752,72
753,52
754,48
755,66
756,52
757,60
758,56
759,60
760,25
761,32
762,66
763,53
764,43
765,34
766,50
767,49
768,33
769,42
770,40
771,45
772,54
773,70
774,53
775,39
776,28
777,24
778,44
779,47
780,36
781,38
782,30
783,42
784,36
785,35
786,30
787,50
788,41
789,47
790,39
791,27
792,36
793,43
794,44
795,72
796,56
797,58
798,57
799,40
800,40
801,49
802,56
803,59
804,71
805,55
806,57
807,54
808,60
809,53
810,52
811,37
812,30
813,44
814,52
815,43
816,30
817,53
818,44
819,43
820,79
821,53
822,45
823,39
824,70
825,47
826,58
827,65
828,39
829,21
830,54
831,41
832,45
833,48
834,61
835,43
836,54
837,37
838,43
839,61
840,36
841,47
842,49
843,27
844,44
845,57
846,30
847,35
848,27
849,63
850,67
851,58
852,23
853,40
854,45
855,27
856,63
857,46
858,44
859,77
860,45
861,56
862,35
863,42
864,36
865,63
866,74
867,28
868,60
869,50
870,64
871,62
872,29
873,59
874,37
875,41
876,54
877,69
878,66
879,42
880,15
881,20
882,27
883,66
884,33
885,59
886,38
887,46
888,41
889,64
890,52
891,48
892,61
893,54
894,57
895,67
896,40
897,38
898,52
899,39
900,55
901,44
902,40
903,36
904,55
905,42
906,45
907,32
908,57
909,56
910,55
911,53
912,47
913,64
914,56
915,56
916,44
917,23
918,36
919,54
920,33
921,32
922,46
923,55
924,32
925,39
926,37
927,48
928,42
929,39
930,69
931,67
932,57
933,58
934,39
935,43
936,63
937,25
938,69
939,46
940,47
941,46
942,34
943,43
944,81
945,63
946,38
947,68
948,49
949,36
950,27
951,45
952,50
953,77
954,68
955,60
956,54
957,45
958,73
959,46
960,43
961,57
962,78
963,64
964,43
965,74
966,47
967,47
968,45
969,45
970,36
971,52
972,57
973,38
974,29
975,53
976,38
977,54
978,42
979,66
980,29
981,60
982,68
983,64
984,39
985,88
986,45
987,44
988,47
989,46
990,39
991,60
992,53
993,39
994,11
995,29
996,27
997,43
998,27
999,73
1000,46
