ID,Value
423,49
424,71
425,62
426,26
427,59
428,40
429,50
430,51
431,47
432,79
433,50
434,23
435,85
436,45
437,53
438,53
439,52
440,59
441,67
442,53
443,43
444,69
445,55
446,19
447,73
448,38
449,33
450,63
451,54
452,45
453,63
454,46
455,71
456,28
457,47
458,61
459,71
460,32
461,43
462,52
463,51
464,50
465,14
466,57
467,57
468,70
469,50
470,46
471,70
472,76
473,71
474,36
475,63
476,72
477,68
478,58
479,40
480,55
481,66
482,41
483,62
484,39
485,75
486,57
487,64
488,34
489,44
490,62
491,62
492,36
493,20
494,48
495,45
496,43
497,68
498,27
499,24
500,29
501,34
502,21
503,39
504,44
505,23
506,60
507,47
508,72
509,52
510,42
511,56
512,61
513,63
514,40
515,35
516,37
517,95
518,58
519,66
520,43
521,67
522,84
523,30
524,72
525,50
526,46
527,41
528,106
529,48
530,29
531,66
532,59
533,63
534,64
535,56
536,58
537,31
538,42
539,69
540,52
541,34
542,53
543,20
544,47
545,77
546,45
547,36
548,5
549,27
550,47
551,60
552,52
553,77
554,40
555,54
556,34
557,53
558,61
559,53
560,31
561,60
562,45
563,45
564,46
565,69
566,50
567,50
568,47
569,76
570,37
571,30
572,15
573,69
574,53
575,64
576,49
577,35
578,30
579,72
580,47
581,44
582,47
583,42
584,60
585,42
586,76
587,57
588,44
589,54
590,40
591,71
592,45
593,24
594,57
595,57
596,53
597,41
598,63
599,77
600,72
601,39
602,33
603,42
604,59
605,54
606,44
607,50
608,30
609,36
610,63
611,61
612,46
613,54
614,63
615,36
616,27
617,39
618,41
619,76
620,57
621,54
622,71
623,31
624,81
625,30
626,33
627,51
628,52
629,41
630,36
631,57
632,42
633,52
634,57
635,45
636,33
637,62
638,50
639,28
640,44
641,44
642,69
643,46
644,58
645,47
646,39
647,30
648,34
649,48
650,41
651,47
652,78
653,45
654,46
655,83
656,58
657,31
658,42
659,58
660,57
661,24
662,32
663,59
664,24
665,53
666,50
667,80
668,56
669,36
670,44
671,55
672,58
673,29
674,65
675,63
676,56
677,54
678,30
679,68
680,73
681,57
682,37
683,51
684,42
685,73
686,41
687,50
688,31
689,65
690,38
691,62
692,58
693,65
694,27
695,55
696,48
697,59
698,53
699,56
700,30
701,76
702,53
703,43
704,77
705,54
706,65
707,62
708,58
709,34
710,34
711,54
712,65
713,58
714,62
715,54
716,45
717,55
718,52
719,66
720,63
721,52
722,47
723,65
724,13
725,33
726,64
727,40
728,54
729,38
730,38
731,58
732,49
733,65
734,28
735,34
736,32
737,46
738,69
739,45
740,41
741,43
742,40
743,50
744,66
745,32
746,56
747,49
748,50
749,63
750,42
751,56
752,50
753,55
754,41
755,58
756,59
757,20
758,30
759,40
760,33
761,33
762,26
763,61
764,49
765,50
766,57
767,53
768,76
769,18
770,53
771,57
772,68
773,34
774,55
775,44
776,28
777,54
778,59
779,41
780,87
781,69
782,37
783,70
784,41
785,46
786,67
787,44
788,37
789,61
790,23
791,47
792,50
793,66
794,58
795,29
796,58
797,43
798,51
799,64
800,81
801,57
802,65
803,63
804,63
805,50
806,21
807,61
808,50
809,63
810,57
811,45
812,66
813,28
814,73
815,44
816,44
817,78
818,61
819,59
820,55
821,67
822,39
823,25
824,84
825,62
826,39
827,55
828,54
829,49
830,39
831,77
832,39
833,22
834,65
835,25
836,61
837,54
838,42
839,45
840,48
841,23
842,68
843,61
844,33
845,45
846,49
847,61
848,53
849,28
850,32
851,20
852,55
853,65
854,65
855,51
856,49
857,55
858,58
859,59
860,61
861,65
862,61
863,66
864,6
865,31
866,48
867,56
868,22
869,39
870,66
871,38
872,56
873,34
874,33
875,57
876,56
877,60
878,55
879,61
880,38
881,69
882,47
883,63
884,34
885,60
886,60
887,63
888,39
889,42
890,39
891,55
892,70
893,53
894,46
895,51
896,37
897,38
898,82
899,23
900,24
901,51
902,40
903,45
904,49
905,66
906,61
907,64
908,66
909,62
910,53
911,58
912,72
913,21
914,46
915,36
916,47
917,41
918,43
919,79
920,31
921,58
922,35
923,46
924,42
925,46
926,57
927,56
928,70
929,38
930,70
931,57
932,80
933,40
934,13
935,81
936,65
937,71
938,46
939,51
940,35
941,36
942,73
943,46
944,44
945,55
946,50
947,34
948,69
949,60
950,21
951,60
952,53
953,37
954,36
955,42
956,36
957,61
958,33
959,56
960,25
961,67
962,55
963,63
964,59
965,36
966,56
967,31
968,27
969,40
970,55
971,37
972,54
973,36
974,67
975,35
976,67
977,48
978,26
979,53
980,88
981,26
982,37
983,63
984,32
985,41
986,69
987,32
988,32
989,68
990,78
991,50
992,20
993,61
994,41
995,60
996,38
997,53
998,49
999,35
1000,47
